,Description,Data.Carbohydrate,Data.Protein,Data.Fat.Total Lipid,Data.Calories
5173,"Pear, Asian, raw",10.65,0.5,0.23,46.67
5174,"Pear, canned, NFS",13.47,0.2,0.06,55.22
5175,"Pear, canned, in syrup",15.15,0.18,0.05,61.77
5176,"Pear, canned, juice pack",11.79,0.23,0.07,48.71
5177,"Persimmon, raw",18.59,0.58,0.19,78.39
5178,"Pineapple, raw",13.12,0.54,0.12,55.72
5179,"Pineapple, canned, NFS",13.91,0.42,0.12,58.4
5180,"Pineapple, canned, in syrup",15.6,0.4,0.11,64.99
5181,"Pineapple, canned, juice pack",12.22,0.44,0.12,51.72
5182,"Pineapple, frozen",13.12,0.54,0.12,55.72
5183,"Plum, raw",11.42,0.7,0.28,51.0
5184,"Plum, canned",13.54,0.52,0.23,58.31
5185,"Pomegranate, raw",18.7,1.67,1.17,92.01
5186,Rhubarb,17.45,0.81,0.22,75.02
5187,Tamarind,62.5,2.8,0.6,266.6
5188,"Watermelon, raw",7.55,0.61,0.15,33.99
5189,"Berries, NFS",9.72,0.69,0.31,44.43
5190,"Blackberries, raw",9.61,1.39,0.49,48.41
5191,"Blackberries, frozen",15.67,1.18,0.43,71.27
5192,"Blueberries, raw",14.49,0.74,0.33,63.89
5193,"Bluberries, canned",22.66,1.04,0.4,98.4
5194,"Blueberries, frozen",12.17,0.42,0.64,56.12
5195,Blueberry pie filling,44.38,0.41,0.2,180.96
5196,"Cranberries, raw",11.97,0.46,0.13,50.89
5197,Cranberry sauce,40.4,0.9,0.15,166.55
5198,"Raspberries, raw",11.94,1.2,0.65,58.41
5199,"Raspberries, frozen",11.94,1.2,0.65,58.41
5200,"Strawberries, raw",7.68,0.67,0.3,36.1
5201,"Strawberries, canned",23.53,0.56,0.26,98.7
5202,"Strawberries, frozen",9.13,0.43,0.11,39.23
5203,Ambrosia,16.16,0.9,0.96,76.88
5204,"Fruit salad, fresh or raw,  excluding citrus fruits, no dressing",13.66,0.7,0.23,59.51
5205,"Fruit salad, fresh or raw, including citrus fruits, no dressing",13.26,0.76,0.21,57.97
5206,"Fruit cocktail, canned, NFS",14.1,0.41,0.08,58.76
5207,"Fruit cocktail, canned, in syrup",15.8,0.39,0.07,65.39
5208,"Fruit cocktail, canned, juice pack",12.41,0.43,0.09,52.17
5209,"Fruit mixture, frozen",11.1,0.7,0.21,49.09
5210,Apple salad with dressing,12.15,1.48,13.92,179.8
5211,"Apple, candied",29.61,1.34,2.15,143.15
5212,"Fruit, chocolate covered",19.9,1.44,6.76,146.2
5213,"Fruit salad, excluding citrus fruits, with salad dressing or mayonnaise",13.39,1.9,20.3,243.86
5214,"Fruit salad, excluding citrus fruits, with whipped cream",14.94,2.22,10.26,160.98
5215,"Fruit salad, excluding citrus fruits, with nondairy whipped topping",17.07,2.07,8.23,150.63
5216,"Fruit salad, excluding citrus fruits, with marshmallows",17.37,1.9,19.12,249.16
5217,"Fruit salad, including citrus fruits, with pudding",17.52,2.05,5.99,132.19
5218,"Fruit salad, excluding citrus fruits, with pudding",17.93,1.98,6.11,134.63
5219,"Fruit salad, including citrus fruits, with salad dressing or mayonnaise",13.06,1.97,19.9,239.22
5220,"Fruit salad, including citrus fruit, with whipped cream",14.54,2.29,10.04,157.68
5221,"Fruit salad, including citrus fruits, with nondairy whipped topping",16.6,2.14,8.04,147.32
5222,"Fruit salad, including citrus fruits, with marshmallows",16.98,1.96,18.76,244.6
5223,Lime souffle,39.83,8.82,14.59,325.91
5224,"Guacamole, NFS",8.45,1.95,14.18,169.22
5225,Guacamole with tomatoes,8.09,1.87,13.09,157.65
5226,Chutney,60.6,0.33,0.06,244.26
5227,Pineapple salad with dressing,11.9,0.58,5.71,101.31
5228,"Soup, fruit",7.0,0.55,0.13,31.37
5229,Frozen fruit juice bar,25.4,0.81,0.06,105.38
5230,"Frozen fruit juice bar, no sugar added",7.35,0.12,0.01,29.97
5231,Sorbet,27.12,0.79,0.05,112.09
5232,"Fruit juice, NFS",12.46,0.16,0.12,51.56
5233,"Fruit juice blend, 100% juice",12.46,0.16,0.12,51.56
5234,"Cranberry juice blend, 100% juice",12.46,0.16,0.12,51.56
5235,"Cranberry juice blend, 100% juice, with calcium added",10.91,0.27,0.12,45.8
5236,Apple cider,11.3,0.1,0.13,46.77
5237,"Apple juice, 100%",11.3,0.1,0.13,46.77
5238,"Apple juice, 100%, with calcium added",11.49,0.12,0.17,47.97
5239,"Blackberry juice, 100%",7.8,0.3,0.6,37.8
5240,Blueberry juice,9.42,0.48,0.21,41.49
5241,"Cranberry juice, 100%, not a blend",12.2,0.39,0.13,51.53
5242,"Grape juice, 100%",14.77,0.37,0.13,61.73
5243,"Grape juice, 100%, with calcium added",14.77,0.37,0.13,61.73
5244,"Papaya juice, 100%",14.51,0.17,0.15,60.07
5245,"Passion fruit juice, 100%",13.6,0.39,0.05,56.41
5246,"Pineapple juice, 100%",12.87,0.36,0.12,54.0
5247,"Pomegranate juice, 100%",13.13,0.15,0.29,55.73
5248,"Prune juice, 100%",17.45,0.61,0.03,72.51
5249,"Strawberry juice, 100%",7.8,0.3,0.6,37.8
5250,"Watermelon juice, 100%",7.55,0.61,0.15,33.99
5251,"Fruit smoothie, with whole fruit, no dairy",13.11,0.64,0.27,57.43
5252,"Fruit smoothie, with whole fruit, no dairy, added protein",12.62,6.26,0.37,78.85
5253,"Fruit smoothie, with whole fruit, non-dairy",11.73,1.47,0.95,61.35
5254,"Fruit smoothie juice drink, no dairy",12.4,0.63,0.15,53.47
5255,"Fruit smoothie, light",9.69,2.65,0.62,54.94
5256,"Fruit smoothie, bottled",11.66,0.48,0.27,50.99
5257,"Fruit nectar, NFS",13.12,0.11,0.06,53.46
5258,Apricot nectar,13.63,0.17,0.45,59.25
5259,Banana nectar,17.95,0.38,0.15,74.67
5260,Cantaloupe nectar,15.64,0.33,0.11,64.87
5261,Guava nectar,13.3,0.3,0.07,55.03
5262,Mango nectar,13.12,0.11,0.06,53.46
5263,Peach nectar,11.61,0.1,0.57,51.97
5264,Papaya nectar,14.51,0.17,0.15,60.07
5265,Passion fruit nectar,17.39,0.16,0.06,70.74
5266,Pear nectar,15.76,0.11,0.01,63.57
5267,"Soursop, nectar",14.93,0.11,0.17,61.69
5268,Vinegar,0.93,0.0,0.0,3.72
5269,"Fruit, baby food, NFS",10.8,0.2,0.2,45.8
5270,"Fruit bar, with added vitamin C, baby food, toddler",76.61,0.82,2.24,329.88
5271,"Tropical fruit medley, baby food, strained",12.22,0.31,0.14,51.38
5272,"Apples, baby food, toddler",11.56,0.19,0.36,50.24
5273,"Apple-raspberry, baby food, NS as to strained or junior",15.98,0.2,0.2,66.52
5274,"Apple-raspberry, baby food, strained",15.6,0.2,0.2,65.0
5275,"Apple-raspberry, baby food, junior",16.0,0.2,0.2,66.6
5276,"Applesauce, baby food, NS as to strained or junior",10.55,0.1,0.1,43.5
5277,"Applesauce, baby food, strained",10.8,0.2,0.2,45.8
5278,"Applesauce, baby food, junior",10.3,0.0,0.0,41.2
5279,"Applesauce and apricots, baby food, NS as to strained or junior",12.02,0.2,0.2,50.68
5280,"Applesauce and apricots, baby food, strained",11.64,0.2,0.2,49.16
5281,"Applesauce and apricots, baby food, junior",12.4,0.2,0.2,52.2
5282,"Applesauce with bananas, baby food, NS as to strained or junior",16.16,0.37,0.1,67.02
5283,"Applesauce with bananas, baby food, strained",16.16,0.37,0.1,67.02
5284,"Applesauce with bananas, baby food, junior",16.16,0.37,0.1,67.02
5285,"Applesauce with cherries, baby food, strained",14.1,0.0,0.0,56.4
5286,"Applesauce with cherries, baby food, junior",14.1,0.0,0.0,56.4
5287,"Applesauce with cherries, baby food, NS as to strained or junior",14.1,0.0,0.0,56.4
5288,"Bananas, baby food, strained",21.34,1.0,0.2,91.16
5289,"Bananas with apples and pears, baby food, strained",19.31,0.9,0.22,82.82
5290,"Bananas with orange, baby food, strained",20.41,1.06,0.0,85.88
5291,"Banana with mixed berries, baby food, strained",21.31,1.01,0.36,92.52
5292,"Peaches, baby food, NS as to strained or junior",14.48,0.94,0.33,64.65
5293,"Peaches, baby food, strained",14.48,0.94,0.33,64.65
5294,"Peaches, baby food, junior",14.48,0.94,0.33,64.65
5295,"Peaches, baby food, toddler",11.8,0.5,0.2,51.0
5296,"Pears, baby food, NS as to strained or junior",11.2,0.3,0.15,47.35
5297,"Pears, baby food, strained",10.8,0.3,0.2,46.2
5298,"Pears, baby food, junior",11.6,0.3,0.1,48.5
5299,"Pears, baby food, toddler",13.6,0.3,0.1,56.5
5300,"Prunes, baby food, strained",23.52,1.0,0.2,99.88
5301,"Apples and pears, baby food, NS as to strained or junior",10.88,0.2,0.12,45.4
5302,"Apples and pears, baby food, strained",10.8,0.25,0.2,46.0
5303,"Apples and pears, baby food, junior",10.95,0.15,0.05,44.85
5304,"Pears and pineapple, baby food, NS as to strained or junior",11.15,0.3,0.15,47.15
5305,"Pears and pineapple, baby food, strained",10.9,0.3,0.1,45.7
5306,"Pears and pineapple, baby food, junior",11.4,0.3,0.2,48.6
5307,"Apple juice, baby food",11.7,0.0,0.1,47.7
5308,"Apple juice, with added calcium, baby food",11.1,0.06,0.1,45.54
5309,"Apple-fruit juice blend, baby food",18.1,0.2,0.1,74.1
5310,"Apple-banana juice, baby food",12.3,0.2,0.1,50.9
5311,"Apple-cherry juice, baby food",11.2,0.2,0.1,46.5
5312,"Apple-grape juice, baby food",11.34,0.1,0.2,47.56
5313,"Apple-peach juice, baby food",10.5,0.2,0.1,43.7
5314,"Apple-prune juice, baby food",18.1,0.2,0.1,74.1
5315,"Grape juice, baby food",15.38,0.0,0.0,61.52
5316,"Mixed fruit juice, not citrus, baby food",11.7,0.1,0.1,48.1
5317,"Mixed fruit juice, not citrus, with added calcium, baby food",12.7,0.2,0.1,52.5
5318,"Orange juice, baby food",10.2,0.6,0.3,45.9
5319,"Orange-apple-banana juice, baby food",11.5,0.4,0.1,48.5
5320,"Pear juice, baby food",11.86,0.0,0.0,47.44
5321,"Apple-sweet potato juice, baby food",11.4,0.3,0.1,47.7
5322,"Orange-carrot juice, baby food",9.9,0.5,0.1,42.5
5323,"Banana juice with lowfat yogurt, baby food",17.54,2.5,0.8,87.36
5324,"Mixed fruit juice with lowfat yogurt, baby food",14.68,2.4,0.8,75.52
5325,"Fruit juice and water drink, with high vitamin C and added calcium, baby food",7.35,0.0,0.0,29.4
5326,"Plums, baby food, NS as to strained or junior",20.1,0.1,0.0,80.8
5327,"Plums, baby food, strained",19.7,0.1,0.0,79.2
5328,"Plums, baby food, junior",20.5,0.1,0.0,82.4
5329,"Plums, bananas, and rice, baby food strained",12.7,1.1,0.3,57.9
5330,"Prunes with oatmeal, baby food, strained",18.5,0.6,0.1,77.3
5331,"Apricots, baby food, NS as to strained or junior",16.8,0.3,0.0,68.4
5332,"Apricots, baby food, strained",16.3,0.3,0.0,66.4
5333,"Apricots, baby food, junior",17.3,0.3,0.0,70.4
5334,"Bananas, baby food, NS as to strained or junior",16.55,0.4,0.15,69.15
5335,"Bananas, baby food, junior",17.8,0.4,0.2,74.6
5336,"Bananas and pineapple, baby food, NS as to strained or junior",18.1,0.2,0.05,73.65
5337,"Bananas and pineapple, baby food, strained",17.8,0.2,0.0,72.0
5338,"Bananas and pineapple, baby food, junior",18.4,0.2,0.1,75.3
5339,"Bananas and strawberry, baby food, junior",25.78,0.71,0.37,109.29
5340,"Fruit dessert, baby food, NS as to strained or junior",16.6,0.3,0.0,67.6
5341,"Fruit dessert, baby food, strained",16.0,0.3,0.0,65.2
5342,"Fruit dessert, baby food, junior",17.2,0.3,0.0,70.0
5343,"Fruit Supreme dessert, baby food",17.18,0.5,0.2,72.52
5344,"Apple yogurt dessert, baby food, strained",19.5,0.8,1.6,95.6
5345,"Banana apple dessert, baby food, strained",16.3,0.3,0.2,68.2
5346,"Blueberry yogurt dessert, baby food, strained",17.05,0.5,0.7,76.5
5347,"Mixed fruit yogurt dessert, baby food, strained",16.23,0.8,0.8,75.32
5348,"Cherry cobbler, baby food, junior",19.2,0.3,0.1,78.9
5349,"Peach cobbler, baby food, NS as to strained or junior",18.05,0.3,0.0,73.4
5350,"Peach cobbler, baby food, strained",17.8,0.3,0.0,72.4
5351,"Peach cobbler, baby food, junior",18.3,0.3,0.0,74.4
5352,"Banana pudding, baby food, strained",14.14,1.0,0.8,67.76
5353,"Banana yogurt dessert, baby food, strained",17.35,1.1,0.52,78.48
5354,"Cherry vanilla pudding, baby food, strained",18.1,0.2,0.25,75.45
5355,"Dutch apple dessert, baby food, NS as to strained or junior",19.46,0.2,0.28,81.16
5356,"Dutch apple dessert, baby food, strained",19.74,0.2,0.4,83.36
5357,"Dutch apple dessert, baby food, junior",19.18,0.2,0.16,78.96
5358,"Peach yogurt dessert, baby food, strained",17.6,0.9,0.18,75.62
5359,"Pineapple dessert, baby food, strained",20.3,1.3,0.3,89.1
5360,"Mango dessert, baby food",19.0,0.3,0.2,79.0
5361,"Tutti-fruitti pudding, baby food, NS as to strained or junior",15.74,0.4,0.35,67.71
5362,"Tutti-fruitti pudding, baby food, strained",15.48,0.4,0.3,66.22
5363,"Tutti-fruitti pudding, baby food, junior",16.0,0.4,0.4,69.2
5364,"Fruit flavored snack, baby food",86.68,0.0,0.02,346.9
5365,"Yogurt and fruit snack, baby food",71.82,14.29,4.0,380.44
5366,"Apples and chicken, baby food, strained",10.88,2.16,1.38,64.58
5367,"Apples with ham, baby food, strained",10.9,2.6,0.9,62.1
5368,"Apples and sweet potatoes, baby food, strained",15.3,0.3,0.22,64.38
5369,"Potato, NFS",20.45,1.87,4.24,127.44
5370,"Potato, baked, NFS",21.45,1.95,0.1,94.5
5371,"Potato, baked, peel not eaten",21.45,1.95,0.1,94.5
5372,"Potato, boiled, NFS",20.45,1.87,4.24,127.44
5373,"Potato, boiled, ready-to-heat",20.45,1.87,4.24,127.44
5374,"Potato, boiled, from fresh, peel not eaten, NS as to fat",20.45,1.87,4.24,127.44
5375,"Potato, boiled, from fresh, peel not eaten, no added fat",21.46,1.95,0.1,94.54
5376,"Potato, boiled, from fresh, peel not eaten, fat added, NS as to fat type",20.45,1.87,4.24,127.44
5377,"Potato, boiled, from fresh, peel not eaten, made with oil",20.45,1.86,4.84,132.8
5378,"Potato, boiled, from fresh, peel not eaten, made with butter",20.45,1.9,3.94,124.86
5379,"Potato, boiled, from fresh, peel not eaten, made with margarine",20.48,1.87,3.18,118.02
5380,"Potato, boiled, from fresh, peel eaten, NS as to fat",20.08,2.39,4.27,128.31
5381,"Potato, boiled, from fresh, peel eaten, fat added, NS as to fat type",20.08,2.39,4.27,128.31
5382,"Potato, boiled, from fresh,  peel eaten, no addded fat",21.07,2.49,0.13,95.41
5383,"Potato, boiled, from fresh, peel eaten, made with oil",20.07,2.37,4.87,133.59
5384,"Potato, boiled, from fresh, peel eaten, made with butter",20.07,2.41,3.97,125.65
5385,"Potato, boiled, from fresh, peel eaten, made with margarine",20.1,2.38,3.21,118.81
5386,"Potato, canned, NS as to fat",12.91,1.34,4.33,95.97
5387,"Potato, canned, fat added, NS as to fat type",12.91,1.34,4.33,95.97
5388,"Potato, canned, no added fat",13.55,1.39,0.2,61.56
5389,"Potato, roasted, NFS",20.45,1.87,4.24,127.44
5390,"Potato, roasted, from fresh, peel eaten, NS as to fat",20.08,2.39,4.27,128.31
5391,"Potato, roasted, from fresh, peel eaten, no added fat",21.07,2.49,0.13,95.41
5392,"Potato, roasted, from fresh, peel eaten, fat added, NS as to fat type",20.08,2.39,4.27,128.31
5393,"Potato, roasted, from fresh, peel eaten, made with oil",20.07,2.37,4.87,133.59
5394,"Potato, roasted, from fresh, peel eaten, made with butter",20.07,2.41,3.97,125.65
5395,"Potato, roasted, from fresh, peel eaten, made with margarine",20.1,2.38,3.21,118.81
5396,"Potato, roasted, from fresh, peel not eaten, NS as to fat",20.45,1.87,4.24,127.44
5397,"Potato, roasted, from fresh, peel not eaten, fat added, NS as to fat type",20.45,1.87,4.24,127.44
5398,"Potato, roasted, from fresh, peel not eaten, no added fat",21.46,1.95,0.1,94.54
5399,"Potato, roasted, from fresh, peel not eaten, made with oil",20.45,1.86,4.84,132.8
5400,"Potato, roasted, from fresh, peel not eaten, made with butter",20.45,1.9,3.94,124.86
5401,"Potato, roasted, from fresh, peel not eaten, made with margarine",20.48,1.87,3.18,118.02
5402,"Potato, roasted, ready-to-heat",20.45,1.87,4.24,127.44
5403,"Stewed potatoes, Puerto Rican style",18.76,2.1,3.72,116.92
5404,"Potato only from Puerto Rican mixed dishes, gravy and other components reported separately",19.89,1.7,0.1,87.26
5405,"Potato from Puerto Rican style stuffed pot roast, with gravy",14.45,2.46,0.93,76.01
5406,"Potato from Puerto Rican beef stew, with gravy",14.45,2.46,0.93,76.01
5407,"Potato from Puerto Rican chicken fricassee, with sauce",14.62,1.34,1.02,73.02
5408,"Potato chips, NFS",53.83,6.39,33.98,546.7
5409,"Potato chips, plain",53.83,6.39,33.98,546.7
5410,"Potato chips, barbecue flavored",55.92,6.51,31.06,529.26
5411,"Potato chips, sour cream and onion flavored",55.92,6.51,31.06,529.26
5412,"Potato chips, cheese flavored",55.92,6.51,31.06,529.26
5413,"Potato chips, other flavored",55.92,6.51,31.06,529.26
5414,"Potato chips, ruffled, plain",53.83,6.39,33.98,546.7
5415,"Potato chips, ruffled, barbecue flavored",55.92,6.51,31.06,529.26
5416,"Potato chips, ruffled, sour cream and onion flavored",55.92,6.51,31.06,529.26
5417,"Potato chips, ruffled, cheese flavored",55.92,6.51,31.06,529.26
5418,"Potato chips, ruffled, other flavored",55.92,6.51,31.06,529.26
5419,"Potato chips, restructured, plain",55.21,4.61,35.17,555.81
5420,"Potato chips, restructured, flavored",55.05,4.59,35.07,554.19
5421,"Potato chips, baked, plain",71.4,5.0,18.2,469.4
5422,"Potato chips, baked, flavored",71.04,4.97,18.11,467.03
5423,"Potato chips, reduced fat",67.13,7.03,20.59,481.95
5424,"Potato chips, fat free",67.13,7.03,20.59,481.95
5425,"Potato chips, restructured, reduced fat, lightly salted",64.76,4.56,26.14,512.54
5426,"Potato chips, restructured, fat free",64.76,4.56,26.14,512.54
5427,"Potato chips, unsalted",59.66,6.25,30.3,536.34
5428,"Potato chips, reduced fat, unsalted",67.8,7.1,20.8,486.8
5429,"Potato chips, lightly salted",53.43,6.71,35.32,558.44
5430,"Potato chips, restructured, lightly salted",53.43,6.71,35.32,558.44
5431,"Potato chips, popped, plain",71.4,5.0,18.2,469.4
5432,"Potato chips, popped, flavored",71.04,4.97,18.11,467.03
5433,"Potato chips, popped, NFS",71.4,5.0,18.2,469.4
5434,"Potato sticks, plain",53.3,6.7,34.4,549.6
5435,"Potato sticks, flavored",52.77,6.63,34.06,544.14
5436,"Potato sticks, fry shaped",52.77,6.63,34.06,544.14
5437,Vegetable chips,59.2,4.72,26.56,494.72
5438,"Potato, scalloped, NFS",13.5,7.12,9.57,168.61
5439,"Potato, scalloped, from fast food or restaurant",12.97,6.65,14.29,207.09
5440,"Potato, scalloped, from fresh",13.5,7.12,9.57,168.61
5441,"Potato, scalloped, from fresh, with meat",12.87,7.44,10.29,173.85
5442,"Potato, scalloped, from dry mix",13.53,6.9,9.72,169.2
5443,"Potato, scalloped, from dry mix, with meat",13.1,7.29,9.53,167.33
5444,"Potato, scalloped, ready-to-heat",13.3,6.79,10.9,178.46
5445,"Potato, scalloped, ready-to-heat, with meat",12.72,7.09,11.5,182.74
5446,"Potato, french fries, NFS",23.23,2.5,14.07,229.55
5447,"Potato, french fries, NS as to fresh or frozen",23.23,2.5,14.07,229.55
5448,"Potato, french fries, from fresh, fried",18.5,1.93,13.1,199.62
5449,"Potato, french fries, from fresh, baked",19.34,2.02,9.16,167.88
5450,"Potato, french fries, from frozen, baked",25.55,2.75,5.48,162.52
5451,"Potato, french fries, fast food",41.44,3.43,14.73,312.05
5452,"Potato, french fries, restaurant",37.2,3.49,14.04,289.12
5453,"Potato, french fries, from frozen, fried",23.23,2.5,14.07,229.55
5454,"Potato, french fries, school",19.34,2.02,9.16,167.88
5455,"Potato, french fries, with cheese, fast food / restaurant",29.69,3.36,14.13,259.37
5456,"Potato, french fries, with cheese, school",17.67,4.55,10.29,181.49
5457,"Potato, french fries, with chili, fast food / restaurant",31.58,4.25,10.81,240.61
5458,"Potato, french fries, with chili and cheese, fast food / restaurant",25.41,3.99,11.38,220.02
5459,"Potato, french fries, with cheese",29.69,3.36,14.13,259.37
5460,"Potato, french fries, with chili and cheese",25.41,3.99,11.38,220.02
5461,"Potato, french fries, with chili",31.58,4.25,10.81,240.61
5462,"Potato, home fries, NFS",18.4,1.92,13.03,198.55
5463,"Potato, home fries, from restaurant / fast food",17.91,1.87,15.2,215.92
5464,"Potato, home fries, from fresh",18.76,1.96,11.52,186.56
5465,"Potato, home fries, ready-to-heat",18.4,1.92,13.03,198.55
5466,"Potato, home fries, with vegetables",15.6,1.73,11.77,175.25
5467,"Potato, hash brown, NFS",28.23,2.62,11.48,226.72
5468,"Potato, hash brown, from fast food",28.88,2.58,17.04,279.2
5469,"Potato, hash brown, from fast food, with cheese",24.47,6.03,19.87,300.83
5470,"Potato, hash brown, from restaurant",28.88,2.58,17.04,279.2
5471,"Potato, hash brown, from restaurant, with cheese",24.47,6.03,19.87,300.83
5472,"Potato, hash brown, from school lunch",28.4,2.64,11.54,228.02
5473,"Potato, hash brown, from fresh",18.57,1.94,12.27,192.47
5474,"Potato, hash brown, from fresh, with cheese",16.18,5.1,15.49,224.53
5475,"Potato, hash brown, from dry mix",28.23,2.62,11.48,226.72
5476,"Potato, hash brown, ready-to-heat",28.23,2.62,11.48,226.72
5477,"Potato, hash brown, ready-to-heat, with cheese",23.96,6.04,15.2,256.8
5478,Potato skins without topping,19.53,2.12,7.45,153.65
