,Сливочное масло с солью,717,0.85,81.11,0.06
6432,"Мороженое ""брейерс"" без добавления сахара, с ореховым маслом пекан",180,3.99,10.3,21.3
6433,"Мороженое ""брейер"" без добавления сахара, с французской ванилью",154,4.5,7.05,20.75
6434,"Мороженое ""брейер"" без добавления сахара, ванильное",143,3.68,6.2,21.92
6435,"Мороженое ""брейер"" без добавления сахара, с ванильной помадкой",153,3.53,5.68,25.63
6436,"Мороженое ""брейер"" без добавления сахара, ванильное шоколадно-клубничное",143,3.71,6.26,21.7
6437,"Замороженные новинки, клондайк, шоколадный рожок slim-a-bear",224,4.09,4.1,45.32
6438,"Замороженные новинки, клондайк, ванильный сэндвич slim-a-bear",239,3.9,5.85,42.75
6439,"Замороженный новль, ""клондайк"", ""слим-а-беар"", без добавления sgr, батончик без палочек",242,5.2,13.0,25.98
6440,"Замороженные новинки, мороженое без добавления сахара",72,3.69,0.61,12.88
6441,"Замороженные новинки без сахара, мороженое со сливками",49,1.37,2.33,11.95
6442,"Мороженое, брейеры, полностью натуральный светлый французский шоколад",201,5.3,7.28,29.68
6443,"Мороженое, брейеры, 98% обезжиренный шоколад",136,3.89,2.17,30.18
6444,"Мороженое ""брейер"" без добавления сахара, шоколадно-карамельное",151,3.54,5.8,25.17
6445,"Конфеты, reese's fast break, шоколадный батончик",495,8.93,23.21,63.9
6446,"Конфеты, mars snackfood us, миндаль в шоколадной глазури cocoavia",573,9.51,37.07,50.22
6447,"Мороженое обычное, с низким содержанием углеводов, ванильное",216,3.17,12.7,22.23
6448,"Мороженое обычное, с низким содержанием углеводов, шоколадное",237,3.8,12.7,26.8
6449,"Шоколад темный, с содержанием сухого какао 45-59%",546,4.88,31.28,61.17
6450,"Шоколад темный, 60-69% сухого какао",579,6.12,38.31,52.42
6451,"Шоколад темный, 70-85% сухого какао",598,7.79,42.63,45.9
6452,"Конфеты шоколадные, темные, без дополнительного указания (45-59% сухого какао, 90%; 60-69% сухого какао",550,5.09,32.2,59.97
6453,"Подсластители для выпечки коричневого цвета, содержат сахар и сукралозу",388,0.0,0.0,97.11
6454,Подсластители для выпечки содержат сахар и сукралозу,398,0.0,0.0,99.53
6455,"Сахар, турбинадо",399,0.0,0.0,99.8
6456,"Подсластители, заменитель сахара, гранулированный, коричневый",347,2.06,0.0,84.77
6457,"Конфеты, хрустящий батончик с начинкой из арахисового масла",542,9.53,31.34,55.53
6458,Сироп кленовый канадский,270,0.0,0.0,67.38
6459,"Подсластитель, сироп, агава",310,0.09,0.45,76.37
6460,"Конфеты ""нестле"", хрустящая корочка ""баттерфингер""",465,6.67,18.33,68.45
6461,Конфеты m и m mars 3 musketeers с трюфельной корочкой,538,6.41,28.85,63.15
6462,"Сиропы шоколадные, hershey's без сахара, со вкусом натурального шоколада, облегченный сироп",43,2.87,2.03,14.2
6463,"Конфеты, шоколадные конфеты m и m mars pretzel",447,5.0,15.0,72.94
6464,"Подсластитель, растительный экстракт, измельченный в порошок из листьев стевии",0,0.0,0.0,100.0
6465,"Конфеты, фруктовые снеки с высоким содержанием витамина С",352,0.08,0.0,87.97
6466,"Джемы, варенья, мармелад, подслащенные фруктовым соком",212,0.0,0.0,52.93
6467,Конфеты с тамариндом,368,0.0,0.0,91.96
6468,"Конфеты, кокосовый батончик, не покрытый шоколадом",481,2.13,27.65,55.87
6469,"Конфеты, херши, батончик ""День выплаты жалованья""",490,13.44,25.0,52.88
6470,"Сироп, нестле, шоколад",269,0.0,0.0,67.21
6471,Зерно амаранта сырое,371,13.56,7.02,65.25
6472,"Зерно амаранта, приготовленное",102,3.8,1.58,18.69
6473,Мука из корня маранты,357,0.3,0.1,88.15
6474,"Ячмень, очищенный от кожуры",354,12.48,2.3,73.48
6475,"Ячмень перловый, сырой",352,9.91,1.16,77.72
6476,Ячмень перловый вареный,123,2.26,0.44,28.22
6477,Гречневая крупа,343,13.25,3.4,71.5
6478,"Гречневая крупа, обжаренная, сухая",346,11.73,2.71,74.95
6479,"Гречневая крупа, запеченная, вареная",92,3.38,0.62,19.94
6480,Цельнозерновая гречневая мука,335,12.62,3.1,70.59
6481,Булгур сухой,342,12.29,1.33,75.87
6482,"Булгур, приготовленный",83,3.08,0.24,18.58
6483,Кукурузное зерно желтого цвета,365,9.42,4.74,74.26
6484,Кукурузные отруби неочищенные,224,8.36,0.92,85.64
6485,Кукурузная мука цельнозерновая желтого цвета,361,6.93,3.86,76.85
6486,"Кукурузная мука, маса, обогащенная, белая",363,8.46,3.69,76.59
6487,"Кукурузная мука желтая, обезжиренная, необогащенная",375,5.59,1.39,82.75
6488,Кукурузная мука маса необогащенная белая,363,8.46,3.69,76.59
6489,Кукурузная мука цельнозерновая желтого цвета,362,8.12,3.59,76.89
6490,"Кукурузная мука обезжиренная, обогащенная, желтая",370,7.11,1.75,79.45
6491,"Кукурузная мука, желтая, самовсходящаяся, рассыпчатая, обычная, обогащенная",334,8.28,3.4,70.28
6492,"Кукурузная мука, желтая, самоподъемная, взбитая, с добавлением пшеничной муки, обогащенная",348,8.41,2.85,73.43
